id	targetid	site	pop	state	district	species	chr_race	latitude	longitude	miss
8609	2751573	Chase View Ct Kangaroo Ground	Kangaroo_Ground	VIC	melbourne	Vandiemenella	viatica19	-37.714035	145.223206	0.0433168
8605	2751574	Chase View Ct Kangaroo Ground	Kangaroo_Ground	VIC	melbourne	Vandiemenella	viatica19	-37.714035	145.223206	0.0371287
8571	2751575	Diamond Creek Ironbark Rd	Diamond_Creek2	VIC	melbourne	Vandiemenella	viatica19	-37.659787	145.145272	0.0290842
8612	2751576	Diamond Creek Ironbark Rd	Diamond_Creek2	VIC	melbourne	Vandiemenella	viatica19	-37.659787	145.145272	0.0334158
8585	2751577	Diamond Creek Ironbark Rd	Diamond_Creek2	VIC	melbourne	Vandiemenella	viatica19	-37.659787	145.145272	0.0358911
8634	2751578	Hurstbridge Haleys Gully rd	Hurstbridge2	VIC	melbourne	Vandiemenella	viatica19	-37.630531	145.175079	0.0290842
8640	2751579	Hurstbridge Haleys Gully rd	Hurstbridge2	VIC	melbourne	Vandiemenella	viatica19	-37.630531	145.175079	0.0377475
8635	2751580	Hurstbridge Haleys Gully rd	Hurstbridge2	VIC	melbourne	Vandiemenella	viatica19	-37.630531	145.175079	0.0358911
8628	2751581	Diamond Creek Seymour Dr	Diamond_Creek3	VIC	melbourne	Vandiemenella	viatica19	-37.654575	145.136444	0.039604
8649	2751582	Diamond Creek Seymour Dr	Diamond_Creek3	VIC	melbourne	Vandiemenella	viatica19	-37.654575	145.136444	0.0340347
8648	2751583	Diamond Creek Seymour Dr	Diamond_Creek3	VIC	melbourne	Vandiemenella	viatica19	-37.654575	145.136444	0.0290842
8623	2751584	Hurstbridge Kendalls Ln.	Hurstbridge1	VIC	melbourne	Vandiemenella	viatica19	-37.63508	145.17099	0.0284653
8519	2751585	Hurstbridge Kendalls Ln.	Hurstbridge1	VIC	melbourne	Vandiemenella	viatica19	-37.63508	145.17099	0.0451733
8631	2751586	Hurstbridge Kendalls Ln.	Hurstbridge1	VIC	melbourne	Vandiemenella	viatica19	-37.63508	145.17099	0.0309406
8598	2751587	Diamond Creek Ironbark rd (power lines)	Diamond_Creek4	VIC	melbourne	Vandiemenella	viatica19	-37.658389	145.147961	0.0340347
8564	2751588	Diamond Creek Ironbark rd (power lines)	Diamond_Creek4	VIC	melbourne	Vandiemenella	viatica19	-37.658389	145.147961	0.0321782
8616	2751589	Diamond Creek Ironbark rd (power lines)	Diamond_Creek4	VIC	melbourne	Vandiemenella	viatica19	-37.658389	145.147961	0.0377475
8601	2751590	Wattle Glen Moonlight Rd	Wattle_Glen	VIC	melbourne	Vandiemenella	viatica19	-37.664474	145.206146	0.0247525
8614	2751591	Wattle Glen Moonlight Rd	Wattle_Glen	VIC	melbourne	Vandiemenella	viatica19	-37.664474	145.206146	0.0402228
8639	2751592	Wattle Glen Moonlight Rd	Wattle_Glen	VIC	melbourne	Vandiemenella	viatica19	-37.664474	145.206146	0.0519802
8643	2751593	Bay Rd Heathland Reserve Sandringham	Sandringham	VIC	melbourne	Vandiemenella	viatica19	-37.9558	145.0269	0.042698
8615	2751594	Bay Rd Heathland Reserve Sandringham	Sandringham	VIC	melbourne	Vandiemenella	viatica19	-37.9558	145.0269	0.0451733
8621	2751596	Bay Rd Heathland Reserve Sandringham	Sandringham	VIC	melbourne	Vandiemenella	viatica19	-37.9558	145.0269	0.0569307
8624	2751597	Bay Rd Heathland Reserve Sandringham	Sandringham	VIC	melbourne	Vandiemenella	viatica19	-37.9558	145.0269	0.0594059
8637	2751598	Bay Rd Heathland Reserve Sandringham	Sandringham	VIC	melbourne	Vandiemenella	viatica19	-37.9558	145.0269	0.0587871
8690	2751599	Truganina Park	Truganina	VIC	melbourne	Vandiemenella	viatica19	-37.88344457	144.79791	0.0686881
8772	2751601	Truganina Park	Truganina	VIC	melbourne	Vandiemenella	viatica19	-37.88344457	144.79791	0.0581683
8755	2751607	2 km W Kingower	Kingower	VIC	regional	Vandiemenella	viatica19	-36.608292	143.779404	0.0544554
8705	2751609	Kiata	Kiata	VIC	regional	Vandiemenella	viatica19	-36.366459	141.79863	0.0662129
8709	2751611	Kiata	Kiata	VIC	regional	Vandiemenella	viatica19	-36.366459	141.79863	0.0519802
8759	2751612	Kiata	Kiata	VIC	regional	Vandiemenella	viatica19	-36.366459	141.79863	0.0903465
8789	2751613	Kiata	Kiata	VIC	regional	Vandiemenella	viatica19	-36.366459	141.79863	0.0674505
8166	2751614	Musselroe Bay	Musselroe_Bay	TAS	TAS	Vandiemenella	viatica19	-40.843128	148.202891	0.100866
8182	2751615	Musselroe Bay	Musselroe_Bay	TAS	TAS	Vandiemenella	viatica19	-40.843128	148.202891	0.0847772
8169	2751616	Musselroe Bay	Musselroe_Bay	TAS	TAS	Vandiemenella	viatica19	-40.843128	148.202891	0.0915842
8167	2751617	Musselroe Bay	Musselroe_Bay	TAS	TAS	Vandiemenella	viatica19	-40.843128	148.202891	0.0884901
8176	2751618	Musselroe Bay	Musselroe_Bay	TAS	TAS	Vandiemenella	viatica19	-40.843128	148.202891	0.0884901
8476	2751619	Cromer	Cromer	SA	SA	Vandiemenella	viatica17	-34.764	138.9459	0.0928218
